课程名称,学分
机器人学,3
汽车构造,3
汽车构造,3
汽车理论,3
汽车理论,3
材料机械性能,3
Matlab及其工程应用,3
Matlab及其工程应用,3
环境资源遥感与环境信息学,3
现代环境分析技术,2
专业实习（资源环境科学）,2
环境生物技术与环境工程综合实验,1.5
生物质能工程,2
毕业论文,2
毕业论文,2
音乐学毕业论文,2
外国文学史,3
诗词曲欣赏与写作,3
中国现代文学作品选读,3
科学技术史,2
精密仪器设计（2）,2
误差理论与数据处理,2
传感器课程设计,1
生物医学信息检测,2
动物检验检疫,1
动物预防医学,2
畜牧综合实验,1
兽医综合实验,1.5
生物信息学（A类）,2
农业生物技术,2
植物生物技术概论,2
汉语写作（B类）（4）,2
现代汉语（B类）（2）,4
现代汉语（B类）（2）,4
现代汉语（B类）（2）,4
现代汉语（B类）（2）,4
鲁迅作品选读,2
操作系统（B类）,3
文化与科技,3
操作系统（B类）,3
动力学与振动导论,4
数据挖掘,2
果树学,2
蔬菜学,2
环境毒理学,3
环境生物技术,3
移动通信（B类）,2
计算机病毒原理,2
数据通信（B类）,2
Windows安全原理与技术,2
FPGA应用实验,2
应用软件课程设计,2
信息安全综合实践,3
机器人技术基础,2
仪器总线与虚拟仪器课程设计,1
数字信号处理,2
纳米材料与器件,2
连续介质力学,3
生物物理,4
设计自动化引论,2
检测技术A,3
数字信号处理,2
检测技术A,3
机电一体化课程设计,1
单片机与嵌入式仪器,2
食品营养学,3
食品安全管理与法规,3
毕业论文,2
土木工程制图（B类）,3
集成电路工艺技术课程设计,2
结构模型设计与制作,3
结构力学（B类）（1）,4
先进数字系统芯片设计,2
微纳电子科技前沿讲座,2
混合信号集成电路设计引论,2
量子光学,4
凝聚态物理,4
专业物理实验,3
MEMS技术导论,2
物理研究实践IV,1
德语文学鉴赏与批评,2
德汉互译（口译）,2
德语语言学引论,2
德语演讲比赛,2
德语专业实习,6
毕业设计(数学),12
常微分方程续论（A）,2
偏微分方程续论（A）,2
代数拓扑,3
李群与李代数,3
微分几何续论,3
拓扑学基础,4
西方经典作品选读,2
建筑力学（2）,3
工程测量,2
土木工程概论,1
建筑材料,3
泛函分析,4
偏微分方程数值解,4
运筹学（B类）,3
动力系统,3
数学建模,3
群与代数表示论,3
数量经济学,3
图与网络,4
船舶噪声基础,2
船舶推进系统振动,2
法国文学与艺术,2
法语写作（2）,2
大学物理（A类）（1）,4.0
大学物理实验（1）,1
大学物理实验（1）,1
大学物理实验（1）,1
大学物理实验（1）,1
计算机系统结构实验,2
信号与系统（含复变函数）,4
高级生物化学实验,1.5
电工与电子技术（D类）实验,2
电工与电子技术（D类）实验,2
工程实践与科技创新Ⅱ-B,2
工程实践与科技创新Ⅳ-D,2
基础物理实验（荣誉）（1）,1
基础物理实验（荣誉）（1）,1
现代心理学,2
危机与公共关系,2
国际关系学导论,2
西方政治学入门,2
现代中日关系,2
人际沟通艺术与技巧,2
科幻作品与科学外史,2
奇妙的低温世界,2
西方美术与创新思维,2
计算机系统结构（A类）,3
计算机系统结构（A类）,3
计算机系统结构实验,2
镁合金及其成形技术,1
航空航天技术历史与展望,2
神奇的催化剂—新能源开发和环境净化中的催化技术,1
全球天然气发展与展望,1
超导体及其应用,2
微生物海洋学与极端生命,1
中国美学与艺术,2
基础拉丁语,2
光学,2
光学,2
罗素的哲学智慧,2
花卉艺术,2
现代天文学,3
体育（4）,1.0
信息论,2
德语口语（3）,2
德语写作（2）,2
德语泛读（2）,2
生物计算编程语言,2
生物工程单元操作原理（1）,2
分子生物学（C类）,2
Linux操作系统与Shell开发的理论与实践,2
生物化学（B类）（2）,3
遗传学（A类）,2
高等数学（A）（2）,4.0
水力学,2
核化学及核技术应用,2
先进核能系统,2
环境修复与人类健康,2
创业管理,2
信号与系统（含复变函数）,4
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
初级汉语,4
初级汉语,4
初级汉语,3
初级汉语,3
汉语,4
西方宗教文化概论,2
文学与文化,2
超材料技术及多模传感器,2
人工智能系统设计与实践,2
企业认知及企业文化,2
工程实践与科技创新Ⅳ-A,2
毕业设计（论文）（信息安全）,12
毕业设计（论文）（信工）下,6
毕业设计（论文）（电科）下,6
商务统计学,3
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
混凝土结构课程设计,2
工程实践与科技创新I,2
经济学初阶：问题与趣味，方法与分析,2
精准医学与我们的健康,2
土木建筑与可持续发展,2
湍流,2
科学与自然中的研究思想与方法探讨,1
中国新闻解读与中国问题研究,2
信息光子学导论,2
什么是数字新媒体产业(TMT),1
时政评论,2
走进神秘的番茄世界,2
全球变化概论:原因和应对策略,1
现代农业理论与实践,1
图像遗产与中国古代艺术,2
生命科学发展史,2
程序设计,3
有机化学实验（1）,2
高等数学V,6
高等数学VI,6
大学英语（4）,2
大学英语（4）,2
大学英语（4）,2
大学英语（4）,2
工程物理与化学基础（3）,6
线性代数,5
理论计算机,2
药物分析实验,1
国际经济学（1）,2
国际经济学（1）,2
国际经济学（1）,2
工程实践,3
计算机科学中的数学基础,3
计算机科学中的数学基础,3
汉语综合课（2）,8
大学英语（3）,3.0
物理研究实践II,1
无机化学,4
工程实践与科技创新I,2
电子技术实验,3
电子技术实验,3
电子技术实验,3
公共经济学,2
国际贸易实务,3
国际技术贸易（A类）,2
国际技术贸易（A类）,2
实验经济学,2
商业银行经营管理,3
歌曲欣赏与演唱,2
研究选题与论文写作,2
研究选题与论文写作,2
高级英语文选（A类）,2
大学英语（4）,3.0
有机化学实验（1）,2
有机化学实验（1）,2
有机化学实验（1）,2
大学化学,2.0
大学化学,2.0
新时代社会认知实践,2
新时代社会认知实践,2
生态学,2.0
动物生理学,3.5
操作系统（D类）,3
编译原理（A类）,3
操作系统课程设计,2
操作系统课程设计,2
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
数值分析与程序设计,3
中国近现代史纲要,3
数据结构B,2
电工与电子技术（C类）实验,1.5
中国近现代史纲要,3
中国近现代史纲要,3
中国近现代史纲要,3
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学物理实验（1）,1
大学物理实验（1）,1
物理化学（2）,4
物理学引论（A类）（1）,5
物理研究导论,2
嵌入式系统原理与实验（A类）,4
嵌入式系统原理与实验（A类）,4
汉语写作,4
嵌入式系统原理与实验（A类）,4
商法,3
商法,3
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
大学英语（4）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
人力资源管理,2
人力资源管理,2
OFFICE在经济管理中的应用,2
数据库原理及应用,3
基础德语（4）,8
德语视听说（3）,2
物理学引论（A类）（2）,5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
当代中国社会问题,2
从曼哈顿计划到当代能源危机：核能及其相关问题,2
积极心理学,3
线性代数 Ⅱ,4
中俄关系的演变与展望,3
现代日本政治,2
政治经济学经典导读,3
治理之善：公共行政热点解析,2
社会政策：公平与福祉,2
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
开源硬件创客实战,2
VR/AR设计与开发实践,2
Unreal程序开发与实践,2
无人驾驶算法开发,3
信息检索与利用,1
信息检索与利用,1
品牌审美与管理——F1超跑和法国红酒,2
微生物学与免疫学,3
微生物学与免疫学实验,1.5
计量经济学,3
计量经济学,3
计量经济学,3
中级宏观经济学,3
中级宏观经济学,3
体育（4）,1.0
体育（4）,1.0
商业银行经营管理,3
金融工程学,3
金融工程学,3
金融工程学,3
大学物理拓展,4
园林植物配置,1
产品设计（3）,5.0
电工与电子技术（D类）实验,2
基本电路理论,4.0
基本电路理论,4.0
基本电路理论,4.0
基本电路实验,2
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
